SITE_NO,node_id,node_lon,node_lat
2302,774545099,144.9583459,-37.8060861
960,774545099,144.9583459,-37.8060861
3395,774545099,144.9583459,-37.8060861
3396,774545099,144.9583459,-37.8060861
3398,774545099,144.9583459,-37.8060861
3399,774545099,144.9583459,-37.8060861
3400,774545099,144.9583459,-37.8060861
130,9515157446,144.9607317,-37.7919871
131,9515157446,144.9607317,-37.7919871
167,774545099,144.9583459,-37.8060861
201,774545099,144.9583459,-37.8060861
224,774545099,144.9583459,-37.8060861
231,774545099,144.9583459,-37.8060861
254,774545099,144.9583459,-37.8060861
255,774545099,144.9583459,-37.8060861
257,774545099,144.9583459,-37.8060861
263,774545099,144.9583459,-37.8060861
3478,52452407,144.9367102,-37.8003421
4553,774545099,144.9583459,-37.8060861
4561,774545099,144.9583459,-37.8060861
4567,774545099,144.9583459,-37.8060861
6663,774545099,144.9583459,-37.8060861
6670,774545099,144.9583459,-37.8060861
6679,774545099,144.9583459,-37.8060861
7000,2180345319,144.93711,-37.7740075
5829,2180345319,144.93711,-37.7740075
4049,774545099,144.9583459,-37.8060861
4050,774545099,144.9583459,-37.8060861
4051,9515157446,144.9607317,-37.7919871
4052,9515157446,144.9607317,-37.7919871
4053,9515157446,144.9607317,-37.7919871
4054,9515157446,144.9607317,-37.7919871
379,774545099,144.9583459,-37.8060861
294,9515157446,144.9607317,-37.7919871
295,9515157446,144.9607317,-37.7919871
315,3374134102,144.9600834,-37.778076
3779,3374134102,144.9600834,-37.778076
317,3374134102,144.9600834,-37.778076
318,9515157446,144.9607317,-37.7919871
319,9515157446,144.9607317,-37.7919871
320,3374134102,144.9600834,-37.778076
3335,3374134102,144.9600834,-37.778076
323,9515157446,144.9607317,-37.7919871
324,9515157446,144.9607317,-37.7919871
325,9515157446,144.9607317,-37.7919871
326,9515157446,144.9607317,-37.7919871
327,9515157446,144.9607317,-37.7919871
329,9515157446,144.9607317,-37.7919871
331,9515157446,144.9607317,-37.7919871
332,9515157446,144.9607317,-37.7919871
334,9515157446,144.9607317,-37.7919871
3518,47334945,144.9384047,-37.7772056
3519,2180345319,144.93711,-37.7740075
3521,2180345319,144.93711,-37.7740075
3536,774545099,144.9583459,-37.8060861
3537,774545099,144.9583459,-37.8060861
3539,774545099,144.9583459,-37.8060861
3541,9086096485,144.9522901,-37.805422
3404,2142179147,144.9364301,-37.7994074
3420,774545099,144.9583459,-37.8060861
3421,774545099,144.9583459,-37.8060861
3422,774545099,144.9583459,-37.8060861
3424,774545099,144.9583459,-37.8060861
3425,774545099,144.9583459,-37.8060861
3426,774545099,144.9583459,-37.8060861
